"id","short_citation","year","author","long_citation","url","created_at","updated_at","approved","bibtex"
1259,"Gowlett et al. 1986","1986","Gowlett, J. a. J. and Hall, E. T. and Hedges, R. E. M. and Perry, C.","Radiocarbon Dates from the Oxford Ams System: Archaeometry Datelist 3. Archaeometry 28 / 1, 1986, 116--125.","","2015-01-19 10:33:13.820802","2015-01-19 10:33:13.820802",,"@article{gowlett_radiocarbon_1986,
	title = {Radiocarbon Dates from the Oxford Ams System: Archaeometry Datelist 3},
	volume = {28},
	issn = {1475-4754},
	shorttitle = {Radiocarbon Dates from the Oxford Ams System},
	url = {http://onlinelibrary.wiley.com/doi/10.1111/j.1475-4754.1986.tb00379.x/abstract},
	doi = {10.1111/j.1475-4754.1986.tb00379.x},
	abstract = {This third list of accelerator dates includes material dated in the same period as datelist 2 (GillespiÄet al. 1985) and subsequently. The dates have been achieved by the same methods as described there.},
	language = {en},
	number = {1},
	urldate = {2015-01-19},
	journal = {Archaeometry},
	author = {Gowlett, J. a. J. and Hall, E. T. and Hedges, R. E. M. and Perry, C.},
	year = {1986},
	pages = {116--125}
}"
43,"Fischer 1975","1975","Fischer, Christian","Tidlig-neolitiske anlæg ved Rustrup. Kuml, 29-72.","","2010-11-04 12:59:43","2010-11-04 12:59:43",,""
52,"Görsdorf 1993","1993","Görsdorf, Jochen","14C-Datierungen des Berliner Labors zur Problematik der chronologischen Einordnung der Bronzezeit in Mitteleuropa. In: Rassmann, Knut(ed.). Beiträge zur Ur- und Frühgeschichte Mecklenburg-Vorpommerns ; 28 97-117.","","2010-11-04 12:59:43","2014-05-21 09:48:21.916991",,"
@inbook{GBV-473661985,
 author = {Görsdorf, Jochen},
 editor = {Rassmann, Knut},
 title = {14C-Datierungen des Berliner Labors zur Problematik der
chronologischen Einordnung der Bronzezeit in Mitteleuropa},
 pages = {97-117},
 series = {Beiträge zur Ur- und Frühgeschichte Mecklenburg-Vorpommerns ;
28},
}"
47,"Geisler 1996","1996","Geisler, Horst","Naturwissenschaftliche Daten zum brandenburgischen Neolithikum. In: Werner Budesheim / Horst Keiling (Hrsg.), Zur jüngeren Steinzeit in Norddeutschland. Beiträge für Wissenschaft und Kultur Band 2. Neumünster, 85-88.","","2010-11-04 12:59:43","2010-11-04 12:59:43",,""
48,"Gfeller 1963","1963","Gfeller, Christian","Altersbestimmung der Fundhorizonte nach der C14-Methode. In: Bandi, Hans-Georg (Hrsg.), Birsmatten-Basisgrotte. Eine mittelsteinzeitliche Fundstelle im unteren Birstal. Acta Bernensia 1. Bern. 88-91.","","2010-11-04 12:59:43","2010-11-04 12:59:43",,""
949,"Wainwright 1972","1972","Wainwright, Gj","EXCAVATION OF A NEOLITHIC SETTLEMENT ON BROOME HEATH, DITCHINGHAM, NORFOLK, ENGLAND.","","2014-05-23 09:58:19.467424","2014-05-23 10:01:40.68158",,"@inproceedings{wainwrig1972excavation,
  title={EXCAVATION OF A NEOLITHIC SETTLEMENT ON BROOME HEATH, DITCHINGHAM, NORFOLK, ENGLAND},
  author={WAINWRIG. GJ},
  booktitle={Proceedings of the Prehistoric Society},
  volume={38},
  number={DEC},
  pages={1},
  year={1972},
  organization={Prehistoric Society 39 CHURCH LANE WEST HUNTSPILL, HIGHBRIDGE SOMERSET, ENGLAND}
}"
952,"Garrow et al. 2006","2006","Garrow, D and Lucy, S and Gibson, D","Excavations at Kilverstone, Norfolk: An Episodic Landscape History.","","2014-05-23 10:24:30.970821","2014-05-23 10:24:30.970821",,"@misc{garrow2006excavations,
  title={Excavations at Kilverstone, Norfolk: An Episodic Landscape History},
  author={Garrow, D and Lucy, S and Gibson, D},
  year={2006},
  publisher={E. Anglian Archaeol}
}"
57,"Hafner et al. 1996","1996","Hafner, Sibylle / Gross-Klee, Eduard / Sormaz, Trivun","Naturwissenschaftliche Untersuchungen des Holzmaterials. In: Zug, Kantonsarchäologie (Hrsg.), Die steinzeitlichen Siedlungen von Hünenberg-Chämleten ZG. Antiqua 28 (Veröffentlichungen der Schweizerischen Gesellschaft für Ur- und Frühgeschichte). Basel, 63-88.","","2010-11-04 12:59:43","2014-05-28 09:48:23.986152",,""
1318,"Haakansson 1979","1979","Haakansson, Soeren","University of Lund radiocarbon dates XIV.. Radiocarbon 23 / 3, 1979, 384--403.","","2015-03-03 09:38:17.619557","2015-03-03 09:38:17.619557",,"@article{haakansson1979university,
  title={University of Lund radiocarbon dates XIV.},
  author={Haakansson, Soeren},
  journal={Radiocarbon},
  volume={23},
  number={3},
  pages={384--403},
  year={1979}
}"
59,"Hansen 1994","1994","Hansen, Mogens","Træbyggede Gravkister fra Enkeltgravskulturen og Senneolitikum. Kuml 1993-94, 87-144.","","2010-11-04 12:59:43","2010-11-04 12:59:43",,""
44,"Furger 1980","1980","Furger, A. R.","","","2010-11-04 12:59:43","2014-04-09 12:39:38.316852",,"
"
70,"Jockenhövel 1985","1985","Jockenhövel, Albrecht","Ausgrabungen in der Talauensiedlung ""Riedwiesen"" bei Frankfurt am Main-Schwanheim. Untersuchungen zum mittelbronzezeitlichen Siedlungswesen im Rhein-Main-Gebiet. Mit einem Beitrag von Georg Leschik: Zur Waldgeschichte im Rhein-Main-Gebiet. Fundberichte aus Hessen 24/25, 1984/85 (1994), 9-104.","","2010-11-04 12:59:43","2010-11-04 12:59:43",,""
954,"Stadler 1999","","","","","2014-05-27 07:23:50.69674","2014-05-27 07:23:50.69674",,""
957,"Clark 1936","1936","Clark, Grahame","The timber monument at Arminghall and its affinities.","","2014-05-27 08:35:56.532172","2014-05-27 08:35:56.532172",,"@inproceedings{clark1936timber,
  title={The timber monument at Arminghall and its affinities},
  author={Clark, Grahame},
  year={1936},
  organization={Prehistoric Society}
}"
958,"Germany 2007","2007","Germany, Mark","Neolithic and Bronze Age Monuments and Middle Iron Age Settlement at Lodge Farm, St Osyth, Essex: Excavations 2000-3 117 (2007).","","2014-05-27 08:42:22.928145","2014-05-27 08:42:22.928145",,"@book{germany2007neolithic,
  title={Neolithic and Bronze Age Monuments and Middle Iron Age Settlement at Lodge Farm, St Osyth, Essex: Excavations 2000-3},
  author={Germany, Mark},
  volume={117},
  year={2007},
  publisher={East Anglian Archaeology}
}"
1002,"Gent/Quinnell 1999","1999","Gent, T and Quinnell, H","Excavation of a causewayed enclosure and hillfort on Raddon Hill, Stockleigh Pomeroy.","","2014-06-24 09:47:49.564958","2014-06-24 09:47:49.564958",,"@inproceedings{gent1999excavation,
  title={Excavation of a causewayed enclosure and hillfort on Raddon Hill, Stockleigh Pomeroy},
  author={Gent, T and Quinnell, H},
  booktitle={Proceedings of the Devon Archaeological Society},
  volume={57},
  pages={1--75},
  year={1999}
}"
1004,"Mercer/Legge 1981","1981","Mercer, Roger J and Legge, AJ","Excavations at Carn Brea, Illogan, Cornwall, 1970-73: a neolithic fortified complex of the third millennium BC (1981).","","2014-06-24 10:56:27.995079","2014-06-24 10:56:27.995079",,"@book{mercer1981excavations,
  title={Excavations at Carn Brea, Illogan, Cornwall, 1970-73: a neolithic fortified complex of the third millennium BC},
  author={Mercer, Roger J and Legge, AJ},
  year={1981},
  publisher={Cornwall Archaeological Society}
}"
89,"Madsen 1971","1971","Madsen, H. J.","To dobbeltgrave fra jysk enkeltgravskultur. Kuml, 249-260.","","2010-11-04 12:59:43","2010-11-04 12:59:43",,""
90,"Madsen 1977","1977","Madsen, Torsten","Toftum ved Horsnes. Et befæstet anlæg tilhørende tragtbægerkulturen. Kuml, 161-184.","","2010-11-04 12:59:43","2010-11-04 12:59:43",,""
91,"Madsen 1979","1979","Madsen, Torsten","En tidligneolitisk langhøj ved Rude i Østjylland. Kuml, 79-108.","","2010-11-04 12:59:43","2010-11-04 12:59:43",,""
92,"Madsen/Petersen 1983","1983","Madsen, Torsten / Petersen, Jens E. 1982","Tidligneolitiske anlæg ved Mosegården. Kuml, 61-120.","","2010-11-04 12:59:43","2010-11-04 12:59:43",,""
95,"Marseen 1960","1960","Marseen, Oskar","Ferslev-huset. Et kultbygning fra jættestuetid. Kuml, 36-55.","","2010-11-04 12:59:43","2010-11-04 12:59:43",,""
96,"Matuschik 1985","1985","Matuschik, Irenäus","Zur Chronologie des Spätneolithikums des bayerischen Donautals. Die Stratigraphie und Radiocarbondaten aus Oberschneiding, Ldkr. Straubing-Bogen. In: Archäologische Denkmalpflege in Niederbayern. 10 Jahre Außenstelle des Bayerischen Landesamtes für Denkmalpflege in Landshut (1973-1983). München. 46-65.","","2010-11-04 12:59:43","2010-11-04 12:59:43",,""
97,"Matuschik etal 1985","1985","Matuschik, Irenäus / Werner, Hans Jürgen","Eine befestigte Siedlung des Endneolithikums aus Riekofen-Kellnerfeld, Ldkr. Regensburg. Jahresbericht der bayerischen Bodendenkmalpflege 22/23, 1981/82 (1985), 37-55.","","2010-11-04 12:59:43","2010-11-04 12:59:43",,""
106,"Müller-Beck 1961","1961","Müller-Beck, Hansjürgen","C 14-Daten und absolute Chronologie im Neolithikum. Germania 39, 420-434.","","2010-11-04 12:59:43","2010-11-04 12:59:43",,""
107,"Müller-Beck/Oeschger 1967","1967","Müller-Beck, Hansjürgen / Oeschger, Hans","Die C14-Daten aus der neolithischen Station Seeberg, Burgäschisee-Süd, Seeberg, Burgäschisee-Süd Teil 4: Chronologie und Umwelt. Acta Bernensia II. Bern. 157-165.","","2010-11-04 12:59:43","2010-11-04 12:59:43",,""
955,"Stadler 1999","","","","","2014-05-27 07:35:25.115954","2014-05-27 07:35:25.115954",,""
110,"Nielsen P.O. 1984","1984","Nielsen Poul O.","„Flint axes and megaliths“- the time and context of the early dolmens in Denmark. In: Burenhult, Göran (Hrsg.), The Archaeology of Carrowmore. Theses and Papers in North European Archaeology 14. Stockholm, 376-87.","","2010-11-04 12:59:43","2010-11-04 12:59:43",,""
111,"Nielsen P.O.1997","1997","Nielsen, Poul O.","Keeping Battle-Axe-People away from the Door. Neolithic House-Sites at Limensgård and Grødbygård, Bornholm. In: Krol, Danuta (Hrsg.), The Built Environment of Coast Areas during the Stone Age. Gdansk.","","2010-11-04 12:59:43","2010-11-04 12:59:43",,""
956,"Stadler 2001","2001","Stadler","P. Stadler, S. Draxler, H. Friesinger, W. Kutschera,
A. Priller, W. Rom, P. Steirer, E. M.Wild, Absolute Chronology for early civilizations in AUstria and Central Europe using 14C Dating with accelerator mass spectrometry with special results for the absolute chronology of the Baden culture. Symposion Proceedings Cernavoda III-Boleráz at Mangalia, 541-562.","","2014-05-27 07:35:25.121789","2014-05-27 07:35:25.121789",,""
104,"Müller 1999","1999","Müller, Johannes","Radiokarbonchronologie, Keramiktechnologie, Osteologie, Anthropologie, Raumanalysen : Beiträge zum Neolithikum und zur Frühbronzezeit im Mittelelbe-Saale-Gebiet. Bericht der Römisch-Germanischen Kommission 80, 1999, 25-211.","","2010-11-04 12:59:43","2014-05-28 09:55:50.679076",,"

@article{GBV-356298027,
 author = {Müller, Johannes},
 title = {Radiokarbonchronologie, Keramiktechnologie, Osteologie,
Anthropologie, Raumanalysen : Beiträge zum Neolithikum und zur
Frühbronzezeit im Mittelelbe-Saale-Gebiet},
 journal = {Bericht der Römisch-Germanischen Kommission},
 year = {1999},
 volume = {80},
 pages = {25-211}
}"
105,"Müller 2001","2001","Müller, Johannes","Soziochronologische Studien zum Jung- und Spätneolithikum im Mittelelbe-Saale-Gebiet (4100-2700 v. Chr.) : eine sozialhistorische Interpretation prähistorischer Quellen. Vorgeschichtliche Forschungen 21 (Rahden/Westf2001).","","2010-11-04 12:59:43","2014-05-28 10:18:18.466588",,"@book{GBV-348672462,
 author = {Müller, Johannes},
 title = {Soziochronologische Studien zum Jung- und Spätneolithikum im
Mittelelbe-Saale-Gebiet (4100-2700 v. Chr.) : eine sozialhistorische
Interpretation prähistorischer Quellen},
 year = {2001},
 series = {Vorgeschichtliche Forschungen},
 address = {Rahden/Westf},
volume = {21}
}"
1003,"Mercer 1997","1997","Mercer, Roger","The excavation of a Neolithic enclosure complex at Helman Tor, Lostwithiel, Cornwall. Cornish Archaeology 36, 1997, 5--63.","","2014-06-24 10:17:40.947782","2014-06-24 10:17:40.947782",,"@article{mercer1997excavation,
  title={The excavation of a Neolithic enclosure complex at Helman Tor, Lostwithiel, Cornwall},
  author={Mercer, Roger},
  journal={Cornish Archaeology},
  volume={36},
  pages={5--63},
  year={1997}
}"
1005,"","","","","","2014-06-26 08:56:51.686899","2014-06-26 08:56:51.686899",,""
120,"Raetzel-Fabian 2000b","2000b","Raetzel-Fabian, Dirk","Die 14C-Daten der Grabungen auf der Großen Heide - Auswertung und Interpretationsspielräume. In: Michael Geschwinde, Die Hügelgräber auf der Großen Heide bei Ripdorf im Landkreis Uelzen. Archäologische Beobachtungen zu den Bestattungssitten des Spätneolithikums und der Bronzezeit in der Lüneburger Heide. Göttinger Schriften zur Vor- und Frühgeschichte 27. Neumünster. 176-185.","","2010-11-04 12:59:43","2010-11-04 12:59:43",,""
121,"Rahbek/Rasmussen 1994","1994","Rahbek, U.; Rasmussen K. L.","Danske arkæologiske 14C-dateringer, København 1993. Arkæologiske Udgravninger i Danmark 1993, Det Arkæologiske Nævn, København (1994) 276-288.","","2010-11-04 12:59:43","2010-11-04 12:59:43",,""
1019," Evin et al","1985","Evin, Jacques/Marechal, Joelle/Marien, Gerard","Radiocarbon: Lyon natural radiocarbon measurements X. Vol 27. 2B. P 386-454","","2014-06-26 11:25:21.826164","2014-06-26 11:25:21.826164",,""
1020,"Evin et al.","1985","Evin, Jacques/Marechal, Joelle/Marien, Gerard","Radiocarbon: Lyon natural radiocarbon measurements X. Vol 27. 2B. P 386-454","","2014-06-26 11:26:17.18235","2014-06-26 11:26:17.18235",,""
1319,"Burenhult 1998","1998","Burenhult, G","The Swedish Archaeological Excavations at Carrowmore, Co. Sligo, Ireland: Excavation report 1998, 1998.","","2015-03-03 09:48:37.670441","2015-03-03 09:48:37.670441",,"@article{burenhult1998swedish,
  title={The Swedish Archaeological Excavations at Carrowmore, Co},
  author={Burenhult, G},
  journal={Sligo, Ireland: Excavation report 1998},
  year={1998}
}"
129,"Rasmussen/Boas 1982","1982","Rasmussen, Lisbeth Wincentz / Boas, Niels Axel","Kainsbakke og Kirial Bro. To bopladser fra den grubekeramiske kultur ved Grenå. Antikvariske Studier 5, 104-114.","","2010-11-04 12:59:43","2010-11-04 12:59:43",,""
133,"Rinne 2000","2000","Rinne, Christoph","Das jungsteinzeitliche Kollektivgrab Odagsen I, Stadt Einbeck, Ldkr. Northeim. Unpublizierte Dissertation Göttingen.","","2010-11-04 12:59:43","2010-11-04 12:59:43",,""
134,"Rostholm 1977","1977","Rostholm, Hans","Nye Fund fra yngre stenalder fra Skarrild overby og Lille Hamborg. Hardsyssels Årbog, 91-112.","","2010-11-04 12:59:43","2010-11-04 12:59:43",,""
135,"Rostholm 1982","1982","Rostholm, Hans","Oldtiden på Herning-engen. Herning.","","2010-11-04 12:59:43","2010-11-04 12:59:43",,""
136,"Rytka 1994","1994","Rytka, Christoph","Eine neue Höhensiedlung der Michelsberger Kultur in Unterfranken. Bericht der Bayerischen Bodendenkmalpflege 30/31, 1989/90 (1994), 46-57.","","2010-11-04 12:59:43","2010-11-04 12:59:43",,""
137,"Schlichtherle 1999","1999","Schlichtherle, Helmut","Die Goldberg III Gruppe in Oberschwaben. In: Helmut Schlichtherle / Michael Strobel (Hrsg.), Aktuelles zu Horgen - Cham - Goldberg III - Schnurkeramik in Süddeutschland. Rundgespräch in Hemmenhofen 26. Juni 1998. Gaienhofen-Hemmenhofen, 35-48.","","2010-11-04 12:59:43","2010-11-04 12:59:43",,""
138,"Schmidt 1982","1982","Schmidt, Elisabeth","Der neolithische Silex-Bergbau bei der Löwenburg (Pleigne JU). Archäologie der Schweiz 5, 51-54.","","2010-11-04 12:59:43","2010-11-04 12:59:43",,""
959,"Hedges/Buckley 1978","1978","Hedges, J and Buckley, D","Excavations at a Neolithic causewayed enclosure, Orsett, Essex, 1975. Proceedings of the Prehistoric Society London 44, 1978, 219--308.","","2014-05-27 09:19:16.538344","2014-05-27 09:19:16.538344",,"@article{hedges1978excavations,
  title={Excavations at a Neolithic causewayed enclosure, Orsett, Essex, 1975},
  author={Hedges, J and Buckley, D},
  journal={Proceedings of the Prehistoric Society London},
  volume={44},
  pages={219--308},
  year={1978}
}"
961,"Bradley/Gordon 1988","1988","Bradley, Richard and Gordon, Keith","Human skulls from the River Thames, their dating and significance. Antiquity 62 / 236, 1988, 503--509.","","2014-05-27 09:52:59.661744","2014-05-27 09:52:59.661744",,"@article{bradley1988human,
  title={Human skulls from the River Thames, their dating and significance},
  author={Bradley, Richard and Gordon, Keith},
  journal={Antiquity},
  volume={62},
  number={236},
  pages={503--509},
  year={1988}
}"
964,"Drury et al. 1978","1978","Drury, Paul John and Committee, Chelmsford Excavation and others","Excavations at Little Waltham, 1970-71 (1978).","","2014-05-27 10:14:48.334259","2014-05-27 10:14:48.334259",,"@book{drury1978excavations,
  title={Excavations at Little Waltham, 1970-71},
  author={Drury, Paul John and Chelmsford Excavation Committee and others},
  year={1978},
  publisher={Council for British Archaeology [for] the Chelmsford Excavation Committee}
}"
141,"Schyle 1997","1997","Schyle, Daniel","Das jungneolithische Erdwerk von Salzkotten-Oberntudorf, Kr. Paderborn : die Ausgrabungen 1988 bis 1992. Bodenaltertümer Westfalens 33 (Mainz am Rhein1997).","","2010-11-04 12:59:43","2014-05-28 12:14:39.389998",,"
@book{GBV-234486686,
 editor = {Schyle, Daniel and Becker, Wolf-Dieter},
 title = {Das jungneolithische Erdwerk von Salzkotten-Oberntudorf, Kr.
Paderborn : die Ausgrabungen 1988 bis 1992},
 year = {1997},
 series = {Bodenaltertümer Westfalens},
volume = {33},
 address = {Mainz am Rhein},
}"
1348,"Marshall/Taylor 1979","1976","Marshall, DN and Taylor, ID and SCOTT, JG","The excavation of the chambered cairn at Glenvoidean, Isle of Bute. Proceedings of the Society of Antiquaries of Scotland Edinburgh 108, 1976, 1--39.","","2015-05-26 08:51:02.103002","2015-05-26 08:51:02.103002",,"@article{marshall1976excavation,
  title={The excavation of the chambered cairn at Glenvoidean, Isle of Bute},
  author={Marshall, DN and Taylor, ID and SCOTT, JG},
  journal={Proceedings of the Society of Antiquaries of Scotland Edinburgh},
  volume={108},
  pages={1--39},
  year={1976}
}"
1350,"Masters 1973","1973","Masters, Lionel","The Lochhill long cairn. Antiquity 47 / 186, 1973, 96--100.","","2015-05-26 09:19:49.408085","2015-05-26 09:19:49.408085",,"@article{masters1973lochhill,
  title={The Lochhill long cairn},
  author={Masters, Lionel},
  journal={Antiquity},
  volume={47},
  number={186},
  pages={96--100},
  year={1973},
  publisher={Cambridge Univ Press}
}"
1360,"Kendrick 1995","1995","Kendrick, Jill","Excavation of a Neolithic enclosure and an Iron Age settlement at Douglasmuir, Angus.","","2015-06-02 10:13:12.52171","2015-06-02 10:13:12.52171",,"@inproceedings{kendrick1995excavation,
  title={Excavation of a Neolithic enclosure and an Iron Age settlement at Douglasmuir, Angus},
  author={Kendrick, Jill},
  booktitle={Proceedings of the Society of Antiquaries of Scotland},
  volume={125},
  pages={29--67},
  year={1995},
  organization={Society}
}"
